#     0                    1                    2              3              4         5         6         7          8          9         10           11         12         13         14         15         16           17         18         19         20         21         22           23         24         25         26         27         28           29         30         31         32         33         34            35          36          37          38            39          40          41          42            43          44          45          46            47          48          49          50
#   NUM         GLITCH-UTC-S         GLITCH-UTC-E  GLITCH-LMST-S  GLITCH-LMST-E  U-GLITCH  V-GLITCH  W-GLITCH      U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI        U-DIS      V-DIS      W-DIS      Z-DIS      N-DIS      E-DIS        U-VEL      V-VEL      W-VEL      Z-VEL      N-VEL      E-VEL        U-ACC      V-ACC      W-ACC      Z-ACC      N-ACC      E-ACC    PHI_3D_GAI  INC_3D_GAI  SNR_3D_GAI  POL_3D_GAI    PHI_3D_DIS  INC_3D_DIS  SNR_3D_DIS  POL_3D_DIS    PHI_3D_VEL  INC_3D_VEL  SNR_3D_VEL  POL_3D_VEL    PHI_3D_ACC  INC_3D_ACC  SNR_3D_ACC  POL_3D_ACC
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000021:  2019-06-01T23:35:35  2019-06-01T23:36:00   182S17:50:25   182S17:50:49         1         1         0      -1754       2307       -522    -2.03e-08   2.55e-08  -6.04e-09   1.54e-09   3.06e-08  -2.48e-09    -8.19e-08   9.52e-08  -2.08e-08   5.03e-09   1.18e-07   1.47e-08     9.48e-08    2.1e-07   3.09e-08   1.06e-07  -2.01e-07   2.78e-08    -4.73e-08   7.88e-08   5.69e-08   9.72e-08   5.33e-08   2.86e-08         176.9        91.1     550.455       0.999         173.6        91.8     242.222       0.998         352.4       116.2       2e+03       1.000         352.6       166.9       1e+01       0.961
000022:  2019-06-01T23:39:33  2019-06-01T23:39:58   182S17:54:16   182S17:54:41         1         1         1       -822       1279       -429    -9.54e-09   1.41e-08  -4.96e-09   1.11e-09   1.63e-08   1.79e-09    -4.55e-08   7.48e-08  -3.29e-08  -2.59e-09   8.62e-08   1.46e-08    -4.78e-08   1.04e-07  -8.43e-08   9.39e-08   8.68e-08   6.61e-08    -1.02e-07  -7.93e-08   5.37e-08  -9.68e-08   8.31e-08    4.7e-08         184.2        90.6     191.620       0.997         188.0        91.2     270.248       0.998         140.6        48.4       2e+02       0.997         337.7       171.4       1e+01       0.954
000023:  2019-06-01T23:41:56  2019-06-01T23:42:21   182S17:56:35   182S17:57:00         1         1         0      -1956       2573       -676    -2.27e-08   2.85e-08  -7.82e-09  -1.59e-09   3.46e-08   3.18e-09    -8.55e-08  -1.19e-07   3.57e-08  -3.76e-09   -1.4e-07  -1.56e-08     1.37e-07  -2.67e-07   1.44e-08   8.88e-08  -2.74e-07  -1.18e-08     7.95e-08   1.11e-07  -6.57e-08  -1.03e-07   8.37e-08  -3.73e-08         178.8        91.3     238.349       0.998           1.0        90.0     216.366       0.998         357.7       107.4       2e+03       1.000         344.6       164.9           3       0.885
000024:  2019-06-01T23:43:21  2019-06-01T23:43:46   182S17:57:58   182S17:58:22         1         1         1      -1608       2838      -1219    -1.86e-08   3.14e-08  -1.41e-08   1.24e-09   3.55e-08   7.81e-09      5.4e-08  -9.41e-08   4.08e-08  -4.09e-09  -1.07e-07   2.13e-08     6.21e-08  -2.02e-07   1.54e-08   1.04e-07  -1.82e-07   -9.4e-09     8.43e-08   9.87e-08   7.44e-08   1.03e-07   7.02e-08  -4.72e-08         191.0        90.6     214.330       0.998          10.6        89.8     240.208       0.998           1.8       120.1       5e+02       0.999         342.6       163.7           2       0.814
000025:  2019-06-01T23:44:54  2019-06-01T23:45:19   182S17:59:29   182S17:59:53         0         0         1       -943       1952      -1089    -1.09e-08   2.16e-08  -1.26e-08  -1.31e-09   2.42e-08   8.81e-09    -4.99e-08   1.05e-07  -5.35e-08  -9.01e-09   1.15e-07   3.39e-08     3.54e-08  -9.63e-08   5.76e-08   1.06e-07  -5.84e-08  -1.14e-08     9.44e-08  -7.44e-08   9.16e-08  -1.13e-07   9.02e-08    5.8e-08         199.8        91.0     152.953       0.997         199.3        88.9      95.499       0.995         354.3       156.3       5e+01       0.990         341.6       167.2           5       0.918
000026:  2019-06-01T23:46:49  2019-06-01T23:47:14   182S18:01:20   182S18:01:45         1         1         0      -1456       1871        397    -1.69e-08   2.07e-08   4.59e-09   1.49e-09   2.51e-08  -3.14e-09    -1.34e-07   1.86e-07  -6.97e-08  -1.21e-08   2.24e-07   1.81e-08    -5.55e-08   2.12e-07  -4.49e-08  -7.77e-08   1.95e-07   4.55e-08     5.85e-08   -6.7e-08    6.2e-08  -1.14e-07   2.85e-08   4.73e-08         176.7        90.5     178.597       0.997         183.3        92.6      53.053       0.991         193.0        66.7       8e+01       0.994          95.1         4.7       1e+01       0.965
000027:  2019-06-01T23:48:47  2019-06-01T23:49:12   182S18:03:15   182S18:03:40         1         1         1      -1713       2132       -538    -1.99e-08   2.36e-08  -6.22e-09   1.17e-09   2.87e-08  -5.89e-09    -7.53e-08   8.42e-08  -3.84e-08   3.68e-09   1.05e-07   2.77e-08     1.88e-07   2.81e-07   3.49e-08    9.5e-08     -3e-07   6.82e-08     7.55e-08   8.03e-08   6.98e-08  -1.05e-07   5.22e-08  -3.96e-08         176.5        90.9      55.244       0.991         176.0        91.3      23.494       0.980         347.8       105.7       2e+03       1.000         333.7       167.7           4       0.891
000028:  2019-06-01T23:56:08  2019-06-01T23:56:33   182S18:10:25   182S18:10:49         1         1         0       -957       1168       -217    -1.11e-08   1.29e-08  -2.51e-09  -1.24e-09   1.56e-08  -2.71e-09    -7.32e-08   7.35e-08  -1.99e-08  -1.03e-08   9.32e-08  -2.73e-08     2.43e-08  -6.16e-08  -8.79e-08   8.82e-08  -4.26e-08   6.53e-08     5.25e-08  -7.74e-08  -7.59e-08  -1.17e-07    3.5e-08   -5.4e-08         171.6        91.0     225.845       0.998         164.6        88.0      54.567       0.991         305.3       140.2       1e+02       0.996         135.1         8.8       2e+01       0.977
000029:  2019-06-02T00:00:54  2019-06-02T00:01:19   182S18:15:03   182S18:15:27         1         1         0      -1389       1837       -455    -1.61e-08   2.03e-08  -5.26e-09   1.15e-09   2.45e-08  -1.56e-09      5.2e-08   8.36e-08   -3.1e-08  -3.65e-09   9.43e-08   1.32e-08     8.52e-08  -1.07e-07   9.94e-08   6.95e-08  -1.11e-07  -9.78e-08     5.96e-08   7.73e-08   6.61e-08  -1.18e-07   3.73e-08   4.37e-08         178.5        90.9     251.867       0.998         185.4        89.2     670.121       0.999         318.5       116.9       7e+01       0.993         149.7         7.2       2e+01       0.977
000030:  2019-06-02T00:02:42  2019-06-02T00:03:07   182S18:16:49   182S18:17:13         1         1         1      -1067       1678       -680    -1.24e-08   1.86e-08  -7.86e-09   1.17e-09   2.13e-08   -5.8e-09    -5.73e-08   1.02e-07   5.71e-08   4.74e-09   1.14e-07  -4.24e-08    -6.93e-08  -1.23e-07   8.59e-08   8.63e-08  -1.13e-07  -7.88e-08     -6.3e-08  -8.11e-08   7.39e-08  -1.24e-07   3.33e-08  -5.95e-08         189.9        90.6      34.364       0.986         199.4        89.1      20.365       0.977         331.0       122.9       7e+01       0.993         149.2         5.6       2e+01       0.979
000031:  2019-06-02T00:09:18  2019-06-02T00:09:43   182S18:23:14   182S18:23:38         1         1         1      -1508       1967       -417    -1.75e-08   2.18e-08  -4.83e-09   1.12e-09   2.62e-08  -2.77e-09     6.32e-08   7.48e-08  -4.52e-08   -9.4e-09   8.93e-08   3.62e-08     1.21e-07   -5.5e-08  -4.28e-08  -6.41e-08  -1.11e-07   3.69e-08     -5.8e-08  -8.97e-08  -8.17e-08  -1.24e-07  -3.93e-08   3.86e-08         176.2        90.4     128.836       0.996         169.0        87.0      11.348       0.960         345.6        57.0       7e+01       0.993         304.6       171.3       2e+01       0.980
000032:  2019-06-02T00:12:22  2019-06-02T00:12:47   182S18:26:13   182S18:26:37         1         0         0       -644        698       -123    -7.47e-09   7.72e-09  -1.43e-09   1.19e-09   9.73e-09  -3.04e-09    -6.29e-08   7.32e-08   3.99e-09   4.97e-09   8.87e-08  -1.71e-08     4.73e-08  -4.94e-08   1.16e-07   7.85e-08   -8.4e-08  -7.09e-08    -7.11e-08  -8.45e-08  -8.34e-08  -1.34e-07   3.42e-08  -3.64e-08         161.6        89.0      66.726       0.993         167.8        87.8     102.333       0.995          43.6        53.7       6e+02       0.999         121.7         6.4       2e+01       0.978
