#     0                    1                    2         3         4         5          6          7          8            9         10         11         12         13         14           15         16         17         18         19         20           21         22         23         24         25         26           27         28         29         30         31         32            33          34          35          36            37          38          39          40            41          42          43          44            45          46          47          48
#   NUM         GLITCH-START           GLITCH-END  U-GLITCH  V-GLITCH  W-GLITCH      U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI        U-DIS      V-DIS      W-DIS      Z-DIS      N-DIS      E-DIS        U-VEL      V-VEL      W-VEL      Z-VEL      N-VEL      E-VEL        U-ACC      V-ACC      W-ACC      Z-ACC      N-ACC      E-ACC    PHI_3D_GAI  INC_3D_GAI  SNR_3D_GAI  POL_3D_GAI    PHI_3D_DIS  INC_3D_DIS  SNR_3D_DIS  POL_3D_DIS    PHI_3D_VEL  INC_3D_VEL  SNR_3D_VEL  POL_3D_VEL    PHI_3D_ACC  INC_3D_ACC  SNR_3D_ACC  POL_3D_ACC
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000021:  2019-06-02T00:39:29  2019-06-02T00:39:54         0         1         1       -142       -162       -233    -1.65e-09   -1.8e-09  -2.69e-09  -3.92e-09  -1.06e-09  -1.66e-09    -8.68e-09   1.31e-08  -1.97e-08   -8.6e-09    1.6e-08    1.5e-08     4.23e-07   8.88e-07   7.32e-07   1.39e-06   2.86e-07   2.18e-07      8.8e-08   1.85e-07   2.09e-07   3.15e-07   5.71e-08  -7.49e-08         272.7       170.7      11.261       0.959          62.6       116.7      22.012       0.978         320.6        12.2       4e+04       1.000         302.8        15.7       3e+02       0.998
000022:  2019-06-02T00:39:47  2019-06-02T00:40:12         0         0         1       -205       -167        199    -2.38e-09  -1.85e-09   2.31e-09  -3.78e-09   1.31e-09   1.41e-09    -1.06e-08   1.25e-08  -1.35e-08  -6.05e-09   1.27e-08   1.17e-08     4.37e-07   8.46e-07   7.44e-07   1.37e-06   2.45e-07   2.19e-07     8.78e-08   1.69e-07   1.97e-07   2.97e-07   5.13e-08  -7.24e-08          13.8       174.9       8.562       0.948          63.7        90.9       7.920       0.944         318.2        12.0       6e+05       1.000         303.7        15.8       3e+02       0.999
000023:  2019-06-02T00:39:59  2019-06-02T00:40:24         0         1         0       -209        200       -152    -2.43e-09   2.22e-09  -1.76e-09  -3.85e-09   1.29e-09  -1.25e-09    -9.43e-09   8.88e-09  -1.61e-08  -7.42e-09   1.14e-08  -1.32e-08     4.32e-07   8.23e-07   7.64e-07   1.37e-06   2.28e-07   2.14e-07     8.37e-08   1.77e-07   1.89e-07   2.85e-07   6.31e-08   -7.4e-08          76.1       170.6      13.507       0.966         256.3       112.4      15.177       0.969         316.3        12.3       6e+04       1.000         302.5        16.2       3e+02       0.998
000024:  2019-06-02T00:40:08  2019-06-02T00:40:33         0         1         0       -241       -150        224     -2.8e-09  -1.66e-09   2.59e-09     -4e-09   1.13e-09  -1.52e-09     7.33e-09   1.28e-08  -1.92e-08  -4.65e-09   1.24e-08   2.02e-08     4.17e-07   8.08e-07   7.81e-07   1.36e-06    2.2e-07   2.15e-07     8.19e-08   1.61e-07   1.91e-07   2.82e-07   5.17e-08  -7.35e-08         257.8       171.6      52.116       0.991          58.6       100.2      14.707       0.968         313.9        12.6       6e+04       1.000         302.4        16.3       3e+02       0.998
000025:  2019-06-02T00:40:29  2019-06-02T00:40:54         0         1         0       -135        194       -233    -1.57e-09   2.15e-09   -2.7e-09  -3.23e-09   2.36e-09   1.67e-09     2.94e-08  -2.74e-08   -1.4e-08   5.33e-09  -3.49e-08   1.98e-08     3.47e-07   8.21e-07   7.94e-07   1.33e-06   2.65e-07  -2.32e-07     8.77e-08   1.62e-07   1.79e-07   2.69e-07   5.78e-08  -7.42e-08         279.1       152.8       4.695       0.912         201.5        87.1       7.364       0.940         315.1        13.6       4e+04       1.000         304.3        16.3       2e+02       0.998
000026:  2019-06-02T00:40:44  2019-06-02T00:41:09         1         0         1        157        275       -104     1.82e-09   3.05e-09   -1.2e-09  -3.33e-09  -1.96e-09   1.23e-09     3.04e-08  -2.78e-08   1.25e-08   6.76e-09  -3.65e-08   9.16e-09    -3.89e-07   8.31e-07   7.87e-07   1.32e-06   2.88e-07  -2.38e-07     7.13e-08   1.56e-07   1.79e-07   2.64e-07   4.81e-08  -7.07e-08         195.0       151.9      14.519       0.968         178.8        74.0       4.359       0.907         316.4        12.7       2e+04       1.000         300.7        16.1       2e+02       0.997
000027:  2019-06-02T00:41:04  2019-06-02T00:41:29         0         0         1        207       -205       -237     2.41e-09  -2.27e-09  -2.75e-09  -3.49e-09  -2.13e-09   2.36e-09    -1.66e-08   3.88e-09  -8.25e-09  -1.03e-08   1.23e-08  -8.84e-09    -4.45e-07   8.04e-07   7.83e-07   1.31e-06   2.56e-07  -2.28e-07     7.17e-08   1.49e-07   1.67e-07   2.52e-07    5.3e-08  -6.95e-08          72.3       156.4      16.620       0.972         301.6       111.4       8.165       0.945         308.5        10.5       2e+04       1.000         300.2        16.3       1e+02       0.997
000028:  2019-06-02T00:41:35  2019-06-02T00:42:00         0         1         0       -417        530       -251    -4.84e-09   5.86e-09  -2.91e-09   -4.1e-09   6.08e-09  -3.08e-09    -2.59e-08   1.77e-08    6.6e-09  -8.83e-09      2e-08  -1.71e-08     4.41e-07   7.12e-07   7.51e-07   1.29e-06   1.43e-07  -1.71e-07     1.27e-07   1.97e-07   1.74e-07   2.25e-07   1.67e-07  -1.71e-07         300.3       163.7       5.872       0.927         275.5       133.8      14.870       0.968         300.3         8.2       1e+05       1.000         300.0        18.4       2e+01       0.975
000029:  2019-06-02T00:42:00  2019-06-02T00:42:25         1         0         0       -206        224        183    -2.39e-09   2.48e-09   2.11e-09  -3.66e-09   1.66e-09  -1.59e-09     8.01e-09   1.05e-08  -1.45e-08   8.11e-09  -1.05e-08   1.34e-08     4.56e-07    6.6e-07   7.44e-07   1.26e-06   9.81e-08  -1.68e-07     5.94e-08   1.32e-07   1.48e-07   2.21e-07   4.23e-08  -6.64e-08         346.1       172.4       9.697       0.953         151.9        53.3       1.475       0.798         300.2         9.1       1e+05       1.000         299.9        18.7       8e+01       0.994
000030:  2019-06-02T00:42:05  2019-06-02T00:42:30         0         0         1       -176        207        177    -2.05e-09   2.29e-09   2.05e-09  -3.64e-09   1.57e-09  -1.72e-09      8.7e-09  -1.07e-08  -1.53e-08  -4.75e-09  -1.15e-08   1.38e-08     4.52e-07   6.49e-07   7.47e-07   1.25e-06   9.12e-08  -1.74e-07        6e-08   1.21e-07   1.48e-07   2.11e-07   4.46e-08  -6.49e-08         344.6       166.8      11.443       0.960          32.4        94.1       1.834       0.824         299.8         9.3       1e+05       1.000         299.2        18.8       8e+01       0.994
